"date","close","volume","open","high","low"

"2019/03/15","275.4300","14757360.0000","283.5100","283.7244","274.4000"
"2019/03/14","289.9600","7048138.0000","292.4500","295.3900","288.2900"
"2019/03/13","288.9600","6817854.0000","283.9000","291.9900","282.7000"
"2019/03/12","283.3600","7488037.0000","286.4900","288.0700","281.0600"
"2019/03/11","290.9200","7372298.0000","283.5200","291.2800","280.5000"
"2019/03/08","284.1400","8805772.0000","276.9100","285.5900","275.8900"
"2019/03/07","276.5900","9410697.0000","278.8400","284.7000","274.2500"
"2019/03/06","276.2400","10319370.0000","276.4800","281.5058","274.3900"
"2019/03/05","276.5400","18729800.0000","282.0000","284.0000","270.1000"
"2019/03/04","285.3600","17068890.0000","298.1200","299.0000","282.7800"
"2019/03/01","294.7900","22848750.0000","306.9400","307.1300","291.9000"
"2019/02/28","319.8800","9666224.0000","318.9200","320.0000","310.8100"
"2019/02/27","314.7400","11144100.0000","301.7800","316.2950","300.5500"
"2019/02/26","297.8600","8571609.0000","292.2200","302.0100","288.7701"
"2019/02/25","298.7700","6213701.0000","297.9100","302.9044","297.0005"
"2019/02/22","294.7100","5731380.0000","294.4900","296.5000","292.1000"
"2019/02/21","291.2300","8880830.0000","301.8100","303.2399","290.5000"
"2019/02/20","302.5600","7132969.0000","304.4100","306.3000","299.0000"
"2019/02/19","305.6400","4120520.0000","306.5600","311.5442","305.4700"
"2019/02/15","307.8800","3895815.0000","304.5000","308.0000","303.9000"
"2019/02/14","303.7700","5190887.0000","303.3800","306.7700","301.0000"
"2019/02/13","308.1700","5130398.0000","312.3500","312.7500","305.5700"
"2019/02/12","311.8100","5485419.0000","316.2000","318.1900","309.6200"
"2019/02/11","312.8400","7114012.0000","311.6000","318.6000","310.5000"
"2019/02/08","305.8000","5835078.0000","306.8300","307.4450","298.5000"
"2019/02/07","307.5100","6511830.0000","313.3000","314.7000","303.0000"
"2019/02/06","317.2200","5031368.0000","319.5900","324.2400","315.6240"
"2019/02/05","321.3500","6734739.0000","312.4900","322.4400","312.2494"
"2019/02/04","312.8900","7344076.0000","312.9800","315.3000","301.8800"
"2019/02/01","312.2100","7263618.0000","305.4200","316.1000","303.5000"
"2019/01/31","307.0200","12545190.0000","301.0000","311.5636","294.0000"
"2019/01/30","308.7700","10594040.0000","300.4500","309.0000","298.4900"
"2019/01/29","297.4600","4602933.0000","295.2700","298.5566","291.8000"
"2019/01/28","296.3800","6409477.0000","292.9100","297.4600","287.7500"
"2019/01/25","297.0400","7102781.0000","294.3900","298.5195","289.5500"
"2019/01/24","291.5100","7990911.0000","283.0300","293.6800","279.2831"
"2019/01/23","287.5900","12513080.0000","292.5000","294.5000","281.6900"
"2019/01/22","298.9200","12052130.0000","304.8200","308.0000","295.5000"
"2019/01/18","302.2600","24079260.0000","323.0000","327.1297","299.7301"
"2019/01/17","347.3100","3661162.0000","346.2100","351.5000","344.1500"
"2019/01/16","346.0500","4677227.0000","344.7800","352.0000","343.5000"
"2019/01/15","344.4300","6047890.0000","335.0000","348.8000","334.5000"
"2019/01/14","334.4000","5232690.0000","342.3800","342.5000","334.0000"
"2019/01/11","347.2600","5035078.0000","342.0900","348.4100","338.7700"
"2019/01/10","344.9700","6049621.0000","334.4000","345.3900","331.7900"
"2019/01/09","338.5300","5426618.0000","335.5000","343.5025","331.4700"
"2019/01/08","335.3500","6994427.0000","341.9600","344.0100","327.0200"
"2019/01/07","334.9600","7542338.0000","321.7200","336.7400","317.7508"
"2019/01/04","317.6900","7382755.0000","306.0000","318.0000","302.7300"
"2019/01/03","300.3600","6948577.0000","307.0000","309.4000","297.3800"
"2019/01/02","310.1200","11611270.0000","306.1000","315.1300","298.8000"
"2018/12/31","332.8000","6294298.0000","337.7900","339.2100","325.2600"
"2018/12/28","333.8700","9918777.0000","323.1000","336.2400","318.4100"
"2018/12/27","316.1300","8567385.0000","319.8400","322.1717","301.5000"
"2018/12/26","326.0900","8143102.0000","300.0000","326.9700","294.0900"
"2018/12/24","295.3900","5559913.0000","313.5000","314.5000","295.1950"
"2018/12/21","319.7700","7997219.0000","317.4000","323.4700","312.4400"
"2018/12/20","315.3800","9049389.0000","327.0540","330.2900","311.8690"
"2018/12/19","332.9700","8256374.0000","337.6000","347.0100","329.7400"
"2018/12/18","337.0300","7084887.0000","350.5400","351.5500","333.6900"
"2018/12/17","348.4200","7664832.0000","362.0000","365.7000","343.8800"
"2018/12/14","365.7100","6327625.0000","375.0000","377.8700","364.3300"
"2018/12/13","376.7900","7348168.0000","370.1500","377.4400","366.7500"
"2018/12/12","366.6000","5019725.0000","369.4200","371.9100","365.1600"
"2018/12/11","366.7600","6298472.0000","369.9100","372.1689","360.2300"
"2018/12/10","365.1500","6575341.0000","360.0000","365.9800","353.1200"
"2018/12/07","357.9650","11484350.0000","369.0000","379.4900","357.6500"
"2018/12/06","363.0600","7828689.0000","356.0100","367.3800","350.7600"
"2018/12/04","359.7000","8430213.0000","356.0500","368.6800","352.0000"
"2018/12/03","358.4900","8295843.0000","360.0000","366.0000","352.0000"
"2018/11/30","350.4800","5621104.0000","341.8300","351.6000","338.2648"
"2018/11/29","341.1700","3076026.0000","347.0000","347.5000","339.5500"
"2018/11/28","347.8700","4114038.0000","345.9900","348.2800","342.2100"
"2018/11/27","343.9200","6347004.0000","340.0500","346.9600","335.5000"
"2018/11/26","346.0000","7973119.0000","325.0000","346.2200","325.0000"
"2018/11/23","325.8300","4202642.0000","334.3450","337.5000","325.5500"
"2018/11/21","338.1900","4677389.0000","352.0000","353.1000","337.3995"
"2018/11/20","347.4900","7991253.0000","341.7500","349.8000","333.5500"
"2018/11/19","353.4700","9698559.0000","356.3400","366.7500","352.8800"
"2018/11/16","354.3100","7194458.0000","345.1900","355.7000","345.1201"
"2018/11/15","348.4400","4600130.0000","342.3300","348.5800","339.0400"
"2018/11/14","344.0000","5032083.0000","342.7000","347.1100","337.1500"
"2018/11/13","338.7300","5422756.0000","333.1600","344.7000","332.2000"
"2018/11/12","331.2800","6916965.0000","348.3700","349.7800","330.3400"
"2018/11/09","350.5100","5093456.0000","349.0000","354.0000","345.2300"
"2018/11/08","351.4000","7080203.0000","348.5000","357.5755","348.4400"
"2018/11/07","348.1600","7366706.0000","343.3400","351.1800","340.8000"
"2018/11/06","341.0600","6751930.0000","339.0700","348.8000","336.0900"
"2018/11/05","341.4000","7820845.0000","340.5000","343.9550","330.1400"
"2018/11/02","346.4100","7799920.0000","343.7400","349.2000","340.9100"
"2018/11/01","344.2800","7980946.0000","338.2600","347.8400","334.7250"
"2018/10/31","337.3200","7600840.0000","332.5400","342.0000","329.1000"
"2018/10/30","329.9000","9109120.0000","328.3900","337.8999","322.2600"
"2018/10/29","334.8500","14455150.0000","337.4700","347.1600","326.5000"
"2018/10/26","330.9000","27380220.0000","308.2500","339.9000","306.6500"
"2018/10/25","314.8600","20771670.0000","317.2200","321.0000","301.0100"
"2018/10/24","288.5000","19350450.0000","301.0500","304.4400","285.7300"
"2018/10/23","294.1400","18956210.0000","263.8700","297.9300","262.1000"
"2018/10/22","260.9500","5594855.0000","260.6800","261.8600","252.5900"
"2018/10/19","260.0000","9344764.0000","267.3900","269.6600","253.5000"
"2018/10/18","263.9100","5401871.0000","269.2900","271.0000","263.0000"
"2018/10/17","271.7800","8636949.0000","282.4000","282.7000","265.8032"
"2018/10/16","276.5900","9501120.0000","265.7000","277.3750","262.2400"
"2018/10/15","259.5900","6189026.0000","259.0600","263.2800","254.5367"
"2018/10/12","258.7800","7189257.0000","261.0000","261.9900","252.0100"
"2018/10/11","252.2300","8128184.0000","257.5300","262.2500","249.0300"
"2018/10/10","256.8800","12781560.0000","264.6100","265.5100","247.7700"
"2018/10/09","262.8000","12037780.0000","255.2500","266.7700","253.3000"
"2018/10/08","250.5600","13371180.0000","264.5200","267.7599","249.0000"
"2018/10/05","261.9500","17900710.0000","274.6500","274.8800","260.0000"
"2018/10/04","281.8300","9638885.0000","293.9500","294.0000","277.6700"
"2018/10/03","294.8000","7982272.0000","303.3300","304.6000","291.5700"
"2018/10/02","301.0200","11699690.0000","313.9500","316.8400","299.1500"
"2018/10/01","310.7000","21714210.0000","305.7700","311.4400","301.0500"
"2018/09/28","264.7700","33597290.0000","270.2600","278.0000","260.5550"
"2018/09/27","307.5200","7337760.0000","312.9000","314.9600","306.9100"
"2018/09/26","309.5800","7835863.0000","301.9100","313.8900","301.1093"
"2018/09/25","300.9900","4472287.0000","300.0000","304.6000","296.5000"
"2018/09/24","299.6800","4834384.0000","298.4800","302.9993","293.5800"
"2018/09/21","299.1000","5038497.0000","297.7000","300.5800","295.3700"
"2018/09/20","298.3300","7332477.0000","303.5600","305.9800","293.3300"
"2018/09/19","299.0200","8264353.0000","280.5100","300.0000","280.5000"
"2018/09/18","284.9600","16494280.0000","296.6900","302.6400","275.5000"
"2018/09/17","294.8400","6866208.0000","290.0400","300.8700","288.1300"
"2018/09/14","295.2000","6757652.0000","288.7600","297.3256","286.5200"
"2018/09/13","289.4600","6333281.0000","288.0200","295.0000","285.1800"
"2018/09/12","290.5400","10002150.0000","281.4400","292.5000","278.6463"
"2018/09/11","279.4400","9161061.0000","279.4700","282.0000","273.5500"
"2018/09/10","285.5000","14232250.0000","273.2600","286.0300","271.0000"
"2018/09/07","263.2400","22442310.0000","260.1000","268.3500","252.2548"
"2018/09/06","280.9500","7472756.0000","284.8000","291.1700","278.8800"
"2018/09/05","280.7400","7707342.0000","285.0500","286.7800","277.1800"
"2018/09/04","288.9500","8304571.0000","296.9400","298.1900","288.0000"
"2018/08/31","301.6600","5367048.0000","302.0000","305.3082","298.6000"
"2018/08/30","303.1500","7210625.0000","302.2600","304.6000","297.7200"
"2018/08/29","305.0100","7410538.0000","310.2700","311.8500","303.6900"
"2018/08/28","311.8600","7639453.0000","318.4100","318.8800","311.1900"
"2018/08/27","319.2700","13062650.0000","318.0000","322.4350","308.8100"
"2018/08/24","322.8200","3592734.0000","320.7000","323.8500","319.4000"
"2018/08/23","320.1000","5138685.0000","319.1400","327.3200","318.1000"
"2018/08/22","321.6400","5935853.0000","320.8700","323.8800","314.6700"
"2018/08/21","321.9000","13147770.0000","310.6100","324.7900","309.0000"
"2018/08/20","308.4400","17380430.0000","291.7040","308.5000","288.2000"
"2018/08/17","305.5000","18895880.0000","323.5000","326.7700","303.5300"
"2018/08/16","335.4500","6045392.0000","339.9100","342.2800","333.8200"
"2018/08/15","338.6900","9073033.0000","341.9060","344.4900","332.1400"
"2018/08/14","347.6400","6948511.0000","358.4500","359.1995","347.1000"
"2018/08/13","356.4100","10444920.0000","361.1300","363.1900","349.0200"
"2018/08/10","355.4900","11530510.0000","354.0000","360.0000","346.0000"
"2018/08/09","352.4500","16951800.0000","365.5500","367.0100","345.7300"
"2018/08/08","370.3400","24535420.0000","369.0900","382.6400","367.1200"
"2018/08/07","379.5700","30596400.0000","343.8400","387.4600","339.1501"
"2018/08/06","341.9900","8536766.0000","345.4600","354.9800","341.8200"
"2018/08/03","348.1700","13646640.0000","347.8100","355.0000","342.5300"
"2018/08/02","349.5400","23159160.0000","328.4400","349.9900","323.1600"
"2018/08/01","300.8400","8768099.0000","297.9900","303.0000","293.0000"
"2018/07/31","298.1400","5055094.0000","292.2500","298.3200","289.0700"
"2018/07/30","290.1700","6799581.0000","295.9000","296.1000","286.1300"
"2018/07/27","297.1800","5694690.0000","307.2500","307.6933","295.3404"
"2018/07/26","306.6500","4619567.0000","304.8500","310.7000","303.6411"
"2018/07/25","308.7400","7031382.0000","296.7400","309.6200","294.5025"
"2018/07/24","297.4300","9586186.0000","304.4209","307.7171","292.5452"
"2018/07/23","303.2000","10974820.0000","301.8400","305.5000","292.8601"
"2018/07/20","313.5800","5159831.0000","321.2300","323.2400","311.7093"
"2018/07/19","320.2300","5907116.0000","316.3300","323.5400","314.0100"
"2018/07/18","323.8500","5610085.0000","325.0000","325.5000","316.2500"
"2018/07/17","322.6900","6987782.0000","308.8100","324.7400","308.5000"
"2018/07/16","310.1000","7800454.0000","311.7100","315.1600","306.2500"
"2018/07/13","318.8700","5866776.0000","315.5800","319.5849","309.2500"
"2018/07/12","316.7100","5711851.0000","321.4300","323.2300","312.7700"
"2018/07/11","318.9600","4878595.0000","315.8000","321.9400","315.0700"
"2018/07/10","322.4700","9437557.0000","324.5600","327.6771","319.2000"
"2018/07/09","318.5100","7579541.0000","311.9900","318.5200","308.0000"
"2018/07/06","308.9000","8860198.0000","304.9550","312.0700","302.0000"
"2018/07/05","309.1600","17457570.0000","313.7600","314.3900","296.2200"
"2018/07/03","310.8600","12282640.0000","331.7500","332.4900","309.6900"
"2018/07/02","335.0700","18732710.0000","360.0700","364.7800","329.8500"
"2018/06/29","342.9500","6475903.0000","353.3300","353.8600","342.4100"
"2018/06/28","349.9300","8388172.0000","348.6600","357.0200","346.1100"
"2018/06/27","344.5000","8313817.0000","345.0000","350.7900","339.5000"
"2018/06/26","342.0000","7434749.0000","336.0540","343.5500","325.7990"
"2018/06/25","333.0100","6925089.0000","330.1200","338.4700","327.5000"
"2018/06/22","333.6300","10253770.0000","351.5400","352.2500","332.0000"
"2018/06/21","347.5100","7949846.0000","362.0000","366.2139","346.2700"
"2018/06/20","362.2200","8370268.0000","358.0400","364.3800","352.0000"
"2018/06/19","352.5500","12734840.0000","365.1600","370.0000","346.2500"
"2018/06/18","370.8300","12025450.0000","355.4000","373.7300","354.5000"
"2018/06/15","358.1700","10827560.0000","353.8400","364.6700","351.2500"
"2018/06/14","357.7200","10961150.0000","347.6300","358.7500","346.6000"
"2018/06/13","344.7800","9401467.0000","346.7060","347.2000","339.8000"
"2018/06/12","342.7700","22256430.0000","344.7000","354.9700","338.0000"
"2018/06/11","332.1000","13166050.0000","322.5100","334.6600","322.5000"
"2018/06/08","317.6600","8192175.0000","319.0000","324.4800","317.1500"
"2018/06/07","316.0900","14336110.0000","316.1500","330.0000","313.5800"
"2018/06/06","319.5000","18742400.0000","300.5000","322.1700","297.4800"
"2018/06/05","291.1300","5877873.0000","297.7000","297.8000","286.7400"
"2018/06/04","296.7400","4793787.0000","294.3400","299.0000","293.5480"
"2018/06/01","291.8200","5417984.0000","285.8600","291.9500","283.8390"
"2018/05/31","284.7300","5912825.0000","287.2100","290.3700","282.9300"
"2018/05/30","291.7200","7473590.0000","283.2900","295.0050","281.6000"
"2018/05/29","283.7600","5657153.0000","278.5100","286.5000","276.1500"
"2018/05/25","278.8500","3872621.0000","277.6250","279.6400","275.6100"
"2018/05/24","277.8500","4170789.0000","278.4000","281.1100","274.8900"
"2018/05/23","279.0700","5972237.0000","277.7600","279.9099","274.0000"
"2018/05/22","275.0100","8938501.0000","287.7620","288.0000","273.4220"
"2018/05/21","284.4900","9167844.0000","281.3300","291.4900","281.3000"
"2018/05/18","276.8200","7243699.0000","284.6500","284.6500","274.0000"
"2018/05/17","284.5400","4418258.0000","285.9000","289.1873","283.9700"
"2018/05/16","286.4800","5669644.0000","283.8300","288.8100","281.5600"
"2018/05/15","284.1800","9509753.0000","285.0100","286.9600","280.5000"
"2018/05/14","291.9700","7265501.0000","303.3200","304.9400","291.6200"
"2018/05/11","301.0600","4665321.0000","307.7000","308.8800","299.0800"
"2018/05/10","305.0200","5642771.0000","307.4997","312.9900","304.1119"
"2018/05/09","306.8500","5712255.0000","300.4100","307.0100","300.0500"
"2018/05/08","301.9700","5927447.0000","300.7950","307.7500","299.0000"
"2018/05/07","302.7700","8673090.0000","297.5000","305.9588","295.1700"
"2018/05/04","294.0900","8565506.0000","283.0000","296.8600","279.5200"
"2018/05/03","284.4500","17339090.0000","278.7900","288.0400","275.2300"
"2018/05/02","301.1500","8346176.0000","298.5700","306.8500","297.7844"
"2018/05/01","299.9200","4614946.0000","293.5100","300.8200","293.2200"
"2018/04/30","293.9000","4224068.0000","293.6100","298.7300","292.5000"
"2018/04/27","294.0750","4346854.0000","285.3700","294.4700","283.8300"
"2018/04/26","285.4800","4348108.0000","278.7500","285.7900","276.5000"
"2018/04/25","280.6900","4000421.0000","283.5000","285.1600","277.2500"
"2018/04/24","283.4600","5678242.0000","285.0000","287.0900","278.4600"
"2018/04/23","283.3700","4880743.0000","291.2900","291.6200","282.3300"
"2018/04/20","290.2400","5622630.0000","295.1700","299.9800","289.7500"
"2018/04/19","300.0800","6083800.0000","291.0800","301.0100","288.5500"
"2018/04/18","293.3500","6531563.0000","291.0800","300.2400","288.1600"
"2018/04/17","287.6900","6931152.0000","288.8700","292.1700","282.5100"
"2018/04/16","291.2100","6289497.0000","299.0000","299.6600","289.0100"
"2018/04/13","300.3400","7319225.0000","303.6000","303.9499","295.9800"
"2018/04/12","294.0800","7595525.0000","302.3200","303.9500","293.6800"
"2018/04/11","300.9300","7470204.0000","300.7400","308.9800","299.6600"
"2018/04/10","304.7000","11017010.0000","298.9700","307.1000","293.6800"
"2018/04/09","289.6600","10241410.0000","300.3700","309.5000","289.2100"
"2018/04/06","299.3000","13516530.0000","301.0000","309.2800","295.5000"
"2018/04/05","305.7200","19025860.0000","289.3400","306.2600","288.2000"
"2018/04/04","286.9400","19880180.0000","252.7800","288.3700","252.0000"
"2018/04/03","267.5300","18829650.0000","269.8200","273.3500","254.4900"
"2018/04/02","252.4800","16093290.0000","256.2600","260.3318","244.5901"
"2018/03/29","266.1300","15014440.0000","256.4900","270.9599","248.2100"
"2018/03/28","257.7800","20962280.0000","264.5800","268.6800","252.1000"
"2018/03/27","279.1800","13787060.0000","304.0000","304.2700","277.1800"
"2018/03/26","304.1800","8364937.0000","307.3400","307.5900","291.3600"
"2018/03/23","301.5400","6639960.0000","311.2500","311.6100","300.4500"
"2018/03/22","309.1000","4924928.0000","313.8900","318.8200","308.1800"
"2018/03/21","316.5300","5954247.0000","310.2500","322.4400","310.1900"
"2018/03/20","310.5500","4761031.0000","314.8700","316.2500","308.7600"
"2018/03/19","313.5600","7467890.0000","316.5000","320.7500","309.6700"
"2018/03/16","321.3500","6113365.0000","325.9600","327.4000","319.0700"
"2018/03/15","325.6000","6554568.0000","329.3800","332.8500","321.1000"
